Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
20-06,AFL,36.46,36.03,41.29,-0.2169,6.2356,-28.9084,0.9997,15.9998,-3.4436
20-06,AIV,4.92,5.02,5.75,3.0957,5.7987,-26.1862,-3.0002,6.9998,-13.2703
20-06,CNP,17.78,18.67,20.26,5.4008,6.6785,-37.4824,2.9998,5.9997,-11.637
20-06,HAS,73.56,74.95,79.6,3.259,5.5184,-22.7349,-0.0002,6.9997,4.9434
20-06,HST,11.86,10.79,13.36,-8.4024,6.1525,-34.0696,0.9997,3.9998,-7.6627
20-06,MGM,17.31,16.8,20.95,1.7949,7.8788,-30.7816,7.9997,16.9999,-3.036
20-06,OKE,36.57,33.22,47.79,-5.7016,4.4645,-42.3295,9.9997,14.9997,-24.6067
20-06,TAP,38.15,34.36,46.46,-8.7351,0.2111,-30.9567,-0.0002,3.9998,-20.5493
20-06,TPR,13.74,13.28,19.46,0.2296,7.0136,-52.381,0.9996,12.9999,-29.9442
20-06,VFC,56.18,60.94,68.29,9.892,3.7335,-31.4851,-0.0003,8.9997,-14.5118
