Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
12-09,C,29.53,32.72,30.57,10.0015,0.3717,-4.3156,-5.0001,4.0001,13.2438
12-09,CI,45.74,47.17,44.75,3.0891,3.0344,-2.0753,1.0,6.0001,4.8682
12-09,CMS,23.08,23.55,22.79,2.1137,2.4229,17.1066,13.0001,14.0001,-0.8132
12-09,DOV,38.66,39.88,39.45,3.0379,0.0775,0.4927,-3.0001,6.0001,2.9976
12-09,HRL,14.34,14.62,14.47,1.8305,0.347,3.9826,7.0,9.0,-3.7408
12-09,HUM,70.92,70.15,80.08,0.2496,0.7078,-9.7372,-1.0002,5.9998,-7.0028
12-09,KMX,30.57,28.3,29.75,-7.2823,3.7225,8.8225,4.0,7.0001,9.0981
12-09,LEG,23.8,25.05,21.98,5.4872,1.8251,6.9851,13.0001,20.0001,13.8793
12-09,WEC,38.04,37.67,37.13,-0.7086,0.4712,19.9747,11.0001,16.0001,0.4733
12-09,ZION,19.19,20.66,19.39,7.2937,1.6833,10.3784,2.0,17.0002,2.2028
