Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
20-04,CFG,17.48,22.39,35.08,21.6062,9.0107,-42.1231,0.9995,2.9995,-62.9232
20-04,DFS,32.87,42.97,73.26,24.3005,18.3114,-49.8735,-1.0006,0.9994,-66.9161
20-04,EMN,44.43,60.51,69.8,28.3346,18.5465,-38.6136,2.9996,4.9996,-46.7458
20-04,KEY,9.63,11.65,17.76,15.0655,10.3972,-34.1587,6.9996,8.9996,-52.1499
20-04,LEG,25.5,35.13,45.69,31.057,8.6782,-36.8072,1.9997,2.9997,-55.2472
20-04,NRG,26.33,33.53,36.32,21.9421,21.1191,-35.8286,5.9997,19.9998,-30.7054
20-04,TPR,12.0,14.88,24.52,19.9477,4.6314,-60.1416,3.9995,16.9993,-56.1681
20-04,UNM,13.98,17.45,26.21,17.9182,26.2042,-55.6311,2.9995,6.9994,-50.0455
20-04,VFC,51.12,58.1,82.8,9.3523,5.8491,-33.9167,1.9996,2.9996,-53.6261
20-04,WY,15.87,21.87,27.54,28.3035,19.6734,-35.6492,4.9997,7.9997,-43.964
