Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
20-08,BAC,25.03,25.74,23.36,3.6342,1.8337,-18.9048,1.9999,7.9999,6.9588
20-08,FITB,19.98,20.66,18.07,4.4323,1.185,-33.1088,-0.0001,1.9999,12.0653
20-08,GPC,90.73,94.44,79.24,4.7758,2.7131,-7.1767,8.0001,6.0,14.8018
20-08,HPE,9.87,9.67,9.67,-1.6256,0.7128,-31.3152,7.9998,4.9996,1.9313
20-08,HPQ,17.59,19.55,16.21,11.0213,0.6229,-16.4449,12.9999,21.0002,16.4762
20-08,MOS,13.39,18.23,11.92,32.1318,1.034,-46.5264,5.9999,3.9999,21.455
20-08,PPL,26.67,27.63,25.65,3.9808,2.3543,-10.1586,14.9998,16.9999,6.6513
20-08,TAP,37.54,37.64,38.88,0.4782,0.7114,-30.5057,4.9997,5.9997,-6.274
20-08,WMB,19.2,20.76,17.91,8.7473,2.0704,-22.362,6.0001,2.0,1.0277
20-08,XRAY,44.71,44.87,41.75,1.2799,1.5916,-18.09,9.9999,26.9999,7.5632
