Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
22-04,AES,25.8,20.42,23.2,-22.5578,12.0513,-4.0283,12.0001,-1.0,6.7154
22-04,APD,251.06,234.07,273.02,-6.3548,5.8451,-11.1715,8.0,3.9999,-18.6178
22-04,BAX,77.68,71.06,82.61,-8.193,1.9593,-8.0626,7.0,3.0,-9.608
22-04,CAH,56.74,58.05,51.91,2.7179,1.4799,-6.6667,7.0002,8.0,10.6666
22-04,CPB,44.5,47.22,43.34,5.9206,4.7431,-11.3388,9.0001,1.0,3.3435
22-04,MU,78.43,68.19,84.81,-12.6982,0.7006,-11.6994,6.0001,10.0,-14.0964
22-04,TJX,60.72,61.28,68.91,1.653,2.3705,-8.4203,7.9999,-1.0001,-21.0236
22-04,TTWO,153.79,119.51,165.12,-24.4758,1.66,-12.9938,10.0,6.9999,-11.6256
22-04,UA,15.6,14.19,17.28,-8.6282,0.7199,-15.7096,15.9999,8.9999,-11.744
22-04,VFC,57.18,52.0,66.59,-8.6385,1.6175,-28.8539,8.9999,4.9997,-23.67
